sta,net,lat,lon,ele,loc,chan,start,end,a,b,c,d
NSS21,TW,22.8123,120.4382,211,"S.Central Range, NSS21",HHZ,2008-02-09T00:00:00Z,2008-03-20T04:53:53Z,0,0,-90,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS22,TW,22.7701,120.4008,83,"S.Central Range, NSS22",HHE,2008-01-29T00:00:00Z,2008-03-21T03:09:57Z,0,90,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS22,TW,22.7701,120.4008,83,"S.Central Range, NSS22",HHN,2008-01-29T00:00:00Z,2008-03-21T03:09:57Z,0,0,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS22,TW,22.7701,120.4008,83,"S.Central Range, NSS22",HHZ,2008-01-29T00:00:00Z,2008-03-21T03:09:58Z,0,0,-90,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS23,TW,22.7214,120.3787,69,"S.Central Range, NSS23",HHE,2008-01-29T00:00:00Z,2008-03-20T04:09:14Z,0,90,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS23,TW,22.7214,120.3787,69,"S.Central Range, NSS23",HHN,2008-01-29T00:00:00Z,2008-03-20T04:09:17Z,0,0,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS23,TW,22.7214,120.3787,69,"S.Central Range, NSS23",HHZ,2008-01-29T00:00:00Z,2008-03-20T04:09:14Z,0,0,-90,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS24,TW,22.6744,120.3421,30,"S.Central Range, NSS24",BHE,2008-01-31T00:00:00Z,2008-03-20T02:15:22Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS24,TW,22.6744,120.3421,30,"S.Central Range, NSS24",BHN,2008-01-31T00:00:00Z,2008-03-20T02:16:09Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS24,TW,22.6744,120.3421,30,"S.Central Range, NSS24",BHZ,2008-01-31T00:00:00Z,2008-03-20T02:16:16Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS24,TW,22.6744,120.3421,30,"S.Central Range, NSS24",HHE,2008-01-31T00:00:00Z,2008-03-20T02:16:16Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS24,TW,22.6744,120.3421,30,"S.Central Range, NSS24",HHN,2008-01-31T00:00:00Z,2008-03-20T02:16:12Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS24,TW,22.6744,120.3421,30,"S.Central Range, NSS24",HHZ,2008-01-31T00:00:00Z,2008-03-20T02:16:24Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS25,TW,22.6283,120.3144,17,"S.Central Range, NSS25",BHE,2008-01-29T00:00:00Z,2008-03-20T02:28:37Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS25,TW,22.6283,120.3144,17,"S.Central Range, NSS25",BHN,2008-01-29T00:00:00Z,2008-03-20T02:27:28Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS25,TW,22.6283,120.3144,17,"S.Central Range, NSS25",BHZ,2008-01-29T00:00:00Z,2008-03-20T02:28:02Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS25,TW,22.6283,120.3144,17,"S.Central Range, NSS25",HHE,2008-01-29T00:00:00Z,2008-03-20T02:29:00Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS25,TW,22.6283,120.3144,17,"S.Central Range, NSS25",HHN,2008-01-29T00:00:00Z,2008-03-20T02:28:49Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS25,TW,22.6283,120.3144,17,"S.Central Range, NSS25",HHZ,2008-01-29T00:00:00Z,2008-03-20T02:28:55Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS26,TW,22.5771,120.2945,10,"S.Central Range, NSS26",HHE,2008-01-20T00:00:00Z,,0,90,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS26,TW,22.5771,120.2945,10,"S.Central Range, NSS26",HHN,2008-01-20T00:00:00Z,,0,0,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS26,TW,22.5771,120.2945,10,"S.Central Range, NSS26",HHZ,2008-01-20T00:00:00Z,,0,0,-90,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
